hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,is_repeated_guest,previous_cancellations,reserved_room_type,customer_type,adr,guest_id,guest_name,guest_email
Resort Hotel,32,2015,September,6,2,4,2,0.0,0,PRT,0,0,D,Transient,129.5,G0200,Rebecca Hampton,teresa72@example.net
Resort Hotel,5,2016,October,16,1,0,1,0.0,0,FRA,0,0,A,Transient,75.0,G0201,Bruce Potter,samantha47@example.org
Resort Hotel,1,2016,November,22,0,1,1,0.0,0,PRT,1,0,A,Transient,30.0,G0202,Sandra Vargas,crystal92@example.com
Resort Hotel,32,2016,October,2,4,6,2,0.0,0,IRL,0,0,F,Transient,110.72,G0203,Kathleen Davidson,mark55@example.org
City Hotel,45,2016,February,9,0,4,2,0.0,0,FRA,0,0,A,Transient,65.75,G0204,Bob Nguyen,robertsullivan@example.org
City Hotel,72,2015,September,11,0,2,1,0.0,0,PRT,0,0,A,Transient-Party,98.0,G0205,Kenneth Adams,emilygreene@example.net
Resort Hotel,230,2016,October,12,0,1,2,0.0,0,BEL,0,0,D,Transient,68.5,G0206,Sandra Ramsey,leslie70@example.org
City Hotel,80,2015,September,3,1,3,2,0.0,0,PRT,0,0,A,Transient,62.83,G0207,Jason Wagner,rebecca74@example.net
Resort Hotel,315,2017,August,14,3,10,2,0.0,0,GBR,0,0,A,Contract,134.85,G0208,Sarah Gordon MD,gordon07@example.com
Resort Hotel,13,2016,August,9,0,3,2,0.0,0,ESP,0,0,A,Transient,261.0,G0209,Tamara Jones,petersonbrittany@example.com
Resort Hotel,96,2017,March,19,2,5,1,0.0,0,PRT,0,0,A,Transient-Party,30.0,G0210,James Wilson,richardsondominique@example.org
City Hotel,59,2017,May,20,2,2,2,0.0,0,BRA,0,0,A,Transient,162.0,G0211,Mallory Ayala,ritaroman@example.org
Resort Hotel,290,2017,May,29,4,10,1,0.0,0,GBR,0,0,A,Contract,51.95,G0212,Hector Lopez,caitlinbrown@example.net
City Hotel,190,2017,July,17,1,2,2,1.0,0,BRA,0,0,A,Transient,125.1,G0213,Raymond Anthony,thompsonjeremy@example.net
City Hotel,168,2017,May,14,2,1,2,0.0,0,GBR,0,0,A,Transient,108.0,G0214,Rachel Stanley,combsdeanna@example.org
City Hotel,12,2015,July,18,2,2,2,0.0,0,PRT,0,0,A,Transient-Party,62.0,G0215,Kayla Reed,brian92@example.org
City Hotel,5,2015,September,19,2,3,2,0.0,0,ESP,0,0,A,Transient,117.8,G0216,Roberto Lowe,luis03@example.org
City Hotel,29,2017,May,1,1,4,2,0.0,0,DEU,0,0,A,Transient,128.44,G0217,Nicole Montgomery,jenniferlewis@example.com
City Hotel,186,2016,April,24,2,3,1,0.0,0,GBR,0,0,A,Transient,68.55,G0218,Rebecca Sanchez,crystal75@example.net
Resort Hotel,63,2015,August,20,1,3,2,0.0,0,ESP,0,0,D,Transient-Party,163.5,G0219,Denise Turner,lkelley@example.net
City Hotel,28,2015,October,29,0,1,1,0.0,0,ESP,0,0,A,Transient-Party,130.0,G0220,Karina Smith,alexandra54@example.org
Resort Hotel,4,2016,February,26,1,2,2,0.0,0,PRT,0,0,A,Transient,51.33,G0221,Catherine White,john64@example.com
Resort Hotel,134,2015,August,7,2,7,2,1.0,0,PRT,0,0,A,Transient,150.6,G0222,Sonia Holt,moorebrandon@example.org
City Hotel,218,2017,August,26,2,5,2,0.0,0,GBR,0,0,A,Transient,111.92,G0223,Robert Mcdonald,brandonalexander@example.com
City Hotel,31,2016,September,10,2,5,2,0.0,0,FRA,0,0,G,Transient,178.42,G0224,Michelle Oneal,christophermaxwell@example.org
City Hotel,156,2016,August,12,2,6,2,0.0,0,ITA,0,0,A,Transient,106.89,G0225,Deanna Johnson,lwarren@example.com
City Hotel,118,2017,May,1,1,3,2,0.0,0,SWE,0,0,A,Transient,126.0,G0226,Timothy Steele,amandamacdonald@example.net
City Hotel,7,2017,March,6,1,1,1,0.0,0,PRT,0,0,A,Transient,80.0,G0227,John Smith,rtaylor@example.com
Resort Hotel,80,2017,April,13,2,4,2,1.0,0,ESP,0,0,G,Transient,168.25,G0228,Richard Martinez,jasonochoa@example.org
City Hotel,41,2016,December,20,0,1,1,0.0,0,PRT,1,1,A,Transient,88.0,G0229,Mr. Jimmy Middleton,natasha67@example.com
City Hotel,27,2017,June,19,1,3,1,0.0,0,FRA,0,0,A,Transient,130.5,G0230,Charles Gibson,qharrison@example.org
City Hotel,53,2016,April,2,0,1,1,0.0,0,FRA,0,0,A,Transient,75.6,G0231,Joseph Vega DDS,whitematthew@example.net
Resort Hotel,101,2017,June,10,2,1,2,0.0,0,CHE,0,0,E,Transient,166.0,G0232,Eric Peters,martin54@example.net
City Hotel,175,2016,July,23,1,1,2,0.0,0,BEL,0,0,A,Transient,85.5,G0233,Ann Hanson,jburns@example.org
City Hotel,0,2016,January,5,0,1,2,0.0,0,PRT,0,0,A,Transient,89.0,G0234,Pamela Werner,hansensamuel@example.com
City Hotel,132,2016,July,29,1,2,2,0.0,0,AUS,0,0,D,Transient,124.8,G0235,Jeremy Rodriguez,cisnerosjacqueline@example.net
City Hotel,60,2015,September,21,1,1,1,0.0,0,PRT,0,0,A,Transient-Party,0.0,G0236,Patricia Short,wgordon@example.net
City Hotel,44,2015,October,29,1,3,2,0.0,0,ESP,0,0,D,Contract,104.63,G0237,David Hanna,robin60@example.com
City Hotel,68,2017,March,26,2,4,2,0.0,0,FRA,0,0,A,Transient,75.0,G0238,Anthony Robinson,david18@example.com
Resort Hotel,90,2015,August,16,2,4,2,0.0,0,ESP,0,0,A,Transient-Party,107.0,G0239,Marc Durham,dustin29@example.net
City Hotel,1,2017,May,4,0,1,2,2.0,0,GBR,0,0,F,Transient,260.0,G0240,Allen Salazar,hermanjames@example.org
City Hotel,200,2016,August,29,1,3,2,0.0,0,BEL,0,0,A,Transient,90.95,G0241,Ronald Robinson,riveraangela@example.net
City Hotel,74,2017,March,30,2,3,2,0.0,0,ESP,0,0,A,Transient,89.32,G0242,Emily Wolfe,connor84@example.org
Resort Hotel,6,2017,January,21,0,1,1,0.0,0,PRT,0,0,A,Transient-Party,43.0,G0243,Alex Anderson,bchristensen@example.com
City Hotel,35,2017,February,9,2,5,2,0.0,0,FRA,0,0,A,Transient,71.0,G0244,Mrs. Ashley Thompson,saracampbell@example.org
City Hotel,70,2016,April,8,2,2,3,1.0,0,ITA,0,0,E,Transient-Party,173.35,G0245,Kristina Hughes,andreavaughn@example.net
Resort Hotel,4,2017,January,14,0,1,1,0.0,0,PRT,0,0,A,Transient-Party,68.0,G0246,Emily Carlson,mark27@example.com
Resort Hotel,122,2015,July,30,1,3,2,0.0,0,PRT,0,0,A,Transient,144.6,G0247,Kevin Lopez,ashley68@example.org
City Hotel,41,2017,March,14,0,5,1,0.0,0,PRT,0,0,E,Transient,65.0,G0248,Alicia Bryant,alexander45@example.com
City Hotel,144,2015,December,29,0,3,2,0.0,0,DEU,0,0,A,Contract,72.25,G0249,Karen Harris,angela20@example.com
City Hotel,19,2017,June,26,1,1,2,0.0,0,FRA,1,0,D,Transient,150.0,G0250,James Davis,martinezmarcus@example.net
City Hotel,35,2016,March,16,0,2,1,0.0,0,CHE,0,0,A,Transient-Party,76.5,G0251,Faith Zamora,stevensonjoshua@example.com
City Hotel,40,2017,August,29,0,1,1,0.0,0,PRT,0,0,D,Transient,95.0,G0252,Derrick Ruiz,joseph10@example.org
Resort Hotel,81,2017,August,27,2,2,2,2.0,0,PRT,0,0,C,Transient,351.0,G0253,Kathleen Powell,twilson@example.com
City Hotel,248,2016,October,13,2,3,2,0.0,0,PRT,0,0,A,Transient,83.38,G0254,Curtis Lee,morawilliam@example.com
City Hotel,136,2016,May,16,1,3,2,0.0,0,NLD,0,0,D,Transient,107.95,G0255,Michael Butler,daniellescott@example.net
City Hotel,111,2016,June,9,1,3,2,0.0,0,FRA,0,0,D,Transient,132.6,G0256,Eric Tucker,gonzalezbecky@example.net
City Hotel,396,2017,June,25,2,0,2,0.0,0,DEU,0,0,A,Transient-Party,122.4,G0257,Erica Frye,lindadean@example.net
Resort Hotel,155,2016,August,22,1,5,2,0.0,0,ESP,0,0,A,Transient,170.0,G0258,Jason Swanson,qtaylor@example.org
City Hotel,151,2017,March,20,1,1,1,0.0,0,PRT,0,0,A,Transient-Party,85.0,G0259,Juan Johnson,ryankristopher@example.com
Resort Hotel,36,2015,November,20,0,2,2,0.0,0,ESP,0,0,A,Transient-Party,64.0,G0260,Robin Logan DDS,richardsingleton@example.net
City Hotel,30,2016,March,5,2,1,2,0.0,0,ITA,0,0,A,Transient,117.0,G0261,Whitney Harris,dflynn@example.org
City Hotel,3,2016,May,12,2,3,2,0.0,0,CN,0,0,A,Transient,121.0,G0262,Sarah Wolf,martinglenn@example.net
City Hotel,1,2017,August,11,0,1,1,0.0,0,PRT,0,0,A,Transient,75.0,G0263,Christian Malone,nguyenlaurie@example.net
City Hotel,273,2015,July,17,0,2,2,0.0,0,PRT,0,0,A,Transient-Party,109.0,G0264,Linda Wong,whitesarah@example.net
City Hotel,1,2017,January,10,0,1,1,0.0,0,PRT,1,0,A,Transient,65.0,G0265,Denise Mueller,kmorales@example.org
Resort Hotel,119,2017,June,8,2,8,2,0.0,0,BEL,0,0,D,Transient,97.4,G0266,Mrs. Jessica Robinson DVM,bonnie18@example.com
City Hotel,102,2017,August,7,2,5,3,0.0,0,GBR,0,0,G,Transient,201.4,G0267,Faith Beasley,paul93@example.net
City Hotel,83,2015,September,23,0,2,3,0.0,0,ESP,0,0,A,Transient-Party,84.0,G0268,Carmen Kim,maxwellderrick@example.com
City Hotel,204,2016,September,7,4,10,2,0.0,0,GBR,0,0,A,Transient,119.85,G0269,Joshua Anderson,markcain@example.com
City Hotel,34,2016,April,11,1,3,2,0.0,0,BEL,0,0,E,Transient,113.04,G0270,Christopher Matthews,yjohnson@example.com
Resort Hotel,71,2015,September,2,2,5,2,2.0,0,PRT,0,0,H,Transient,163.0,G0271,Charles Davis,guzmankenneth@example.net
City Hotel,135,2017,June,6,0,3,2,0.0,0,GBR,0,0,A,Transient,144.0,G0272,Brittney Lucas,wyattanthony@example.net
City Hotel,1,2016,March,8,0,2,2,0.0,0,ITA,0,0,A,Transient-Party,103.0,G0273,Carl Miller,hollandgrace@example.net
City Hotel,84,2015,November,27,1,2,2,0.0,0,PRT,0,0,A,Transient-Party,64.0,G0274,Jason Adams,hnash@example.net
City Hotel,16,2015,September,25,2,3,1,0.0,0,GBR,0,0,A,Transient-Party,170.0,G0275,Christopher Cooper,frank84@example.org
City Hotel,39,2015,August,14,0,2,2,0.0,0,DEU,0,0,A,Transient-Party,109.0,G0276,Adam Schneider,isaac31@example.com
Resort Hotel,13,2016,February,14,1,0,2,0.0,0,PRT,0,0,A,Transient,58.0,G0277,Timothy Alvarez,mathisdawn@example.net
Resort Hotel,32,2016,April,19,0,1,2,0.0,0,PRT,0,0,A,Transient-Party,59.0,G0278,Marie Mack,rwilson@example.net
Resort Hotel,0,2016,February,10,0,1,2,0.0,0,FRA,0,0,A,Transient,55.0,G0279,Anne Owens,benjaminhartman@example.com
City Hotel,9,2016,April,10,1,0,1,0.0,0,PRT,0,0,A,Transient,105.0,G0280,Dawn Pierce,cynthia68@example.net
City Hotel,122,2017,May,11,0,2,1,0.0,0,CHE,0,0,A,Transient-Party,117.0,G0281,Henry Campos,gallen@example.com
City Hotel,33,2016,February,15,1,4,2,0.0,0,FRA,0,0,A,Transient,80.82,G0282,Brittany Davis,garrisonchristine@example.com
City Hotel,5,2015,August,17,1,5,2,0.0,0,ESP,0,0,B,Transient,75.0,G0283,Jordan Medina,nathan41@example.org
City Hotel,3,2016,October,6,0,1,1,0.0,0,PRT,0,0,A,Transient,0.0,G0284,Dakota Zamora,gonzaleztrevor@example.com
Resort Hotel,103,2016,December,27,0,2,2,0.0,0,PRT,0,0,F,Transient,62.0,G0285,Michael Allen,james48@example.net
City Hotel,24,2016,September,19,1,2,2,0.0,0,FRA,0,0,D,Transient,107.0,G0286,Edward Webb,hbell@example.org
Resort Hotel,321,2017,June,4,2,4,2,0.0,0,IRL,0,0,A,Transient,74.25,G0287,Toni Chapman,caldwellbrooke@example.org
City Hotel,92,2015,December,26,2,3,2,0.0,0,FRA,0,0,D,Transient,60.0,G0288,Julie Holder,curtiscasey@example.org
City Hotel,129,2017,May,12,1,2,2,0.0,0,GBR,0,0,A,Transient,120.0,G0289,Sarah Rodriguez,zcarter@example.com
Resort Hotel,22,2016,November,10,0,3,2,0.0,0,ESP,0,0,E,Transient,75.6,G0290,Christopher Yang,nicole45@example.com
Resort Hotel,342,2016,September,29,2,4,1,0.0,0,IRL,0,0,A,Transient-Party,36.0,G0291,Teresa Strickland,rodriguezshelby@example.com
City Hotel,203,2016,September,5,1,2,2,0.0,0,PRT,0,0,A,Transient-Party,80.75,G0292,Randy Whitaker,richardsondanielle@example.net
City Hotel,96,2016,July,23,2,3,2,2.0,0,BRA,0,0,G,Transient,188.16,G0293,Kathy Weber,brownelizabeth@example.org
Resort Hotel,119,2017,February,21,2,5,3,1.0,0,POL,0,0,H,Transient,135.0,G0294,Christopher Wilson,tuckerashley@example.com
City Hotel,1,2016,September,22,1,3,3,0.0,0,BRA,0,0,D,Transient-Party,198.0,G0295,Stephanie Meyers,christopher96@example.com
Resort Hotel,37,2016,December,3,1,1,2,0.0,0,PRT,0,0,E,Transient,63.0,G0296,Benjamin Hill,bakerrussell@example.com
Resort Hotel,80,2016,December,2,0,2,2,0.0,0,IRL,0,0,D,Transient-Party,51.8,G0297,Patrick Baldwin,robertmorris@example.org
City Hotel,44,2017,March,1,0,4,2,0.0,0,ITA,0,0,D,Transient,100.3,G0298,Peter Buckley,wesleybrooks@example.org
Resort Hotel,1,2015,October,31,0,1,2,0.0,0,PRT,0,0,A,Transient,39.2,G0299,Andrea Mills,owilliamson@example.net
Resort Hotel,0,2017,January,26,0,1,2,0.0,0,ITA,0,0,A,Transient,45.0,G0300,Kathleen Branch,laura88@example.org
